framenumber,feature0,feature1,feature2,feature3,feature4
117,1.648991,0.013889,4.645833,0.011188,0.000000
118,1.384903,0.013889,3.513889,0.001543,0.000000
119,0.000000,0.000000,0.000000,0.000000,0.000000
120,1.862342,0.041667,2.826389,1.321277,0.093750
121,1.396890,0.027778,2.506944,1.159465,0.053241
122,1.794884,0.027778,2.638889,1.458874,0.077778
123,0.000000,0.000000,0.000000,0.000000,0.000000
124,2.374482,0.055556,2.833333,4.839699,0.381076
125,2.481973,0.055556,2.701389,4.500035,0.358586
126,2.350195,0.055556,2.687500,4.539138,0.345679
127,2.531365,0.055556,3.812500,3.980078,0.316288
128,0.000000,0.000000,0.000000,0.000000,0.000000
129,0.000000,0.000000,0.000000,0.000000,0.000000
130,0.000000,0.000000,0.000000,0.000000,0.000000
131,0.000000,0.000000,0.000000,0.000000,0.000000
132,0.000000,0.000000,0.000000,0.000000,0.000000
133,1.661134,0.027778,3.072000,0.275334,0.020833
134,1.787945,0.027778,3.072000,0.278549,0.016204
135,0.000000,0.000000,0.000000,0.000000,0.000000
136,0.000000,0.000000,0.000000,0.000000,0.000000
137,1.754046,0.013889,2.611111,0.593621,0.000000
138,2.482772,0.013889,6.305555,0.291409,0.000000
139,1.941730,0.013889,5.902778,0.175154,0.000000
140,0.000000,0.000000,0.000000,0.000000,0.000000
141,0.000000,0.000000,0.000000,0.000000,0.000000
142,0.000000,0.000000,0.000000,0.000000,0.000000
143,0.000000,0.000000,0.000000,0.000000,0.000000
144,0.000000,0.000000,0.000000,0.000000,0.000000
145,0.000000,0.000000,0.000000,0.000000,0.000000
146,0.000000,0.000000,0.000000,0.000000,0.000000
147,0.000000,0.000000,0.000000,0.000000,0.000000
148,0.000000,0.000000,0.000000,0.000000,0.000000
149,0.000000,0.000000,0.000000,0.000000,0.000000
150,0.000000,0.000000,0.000000,0.000000,0.000000
151,0.000000,0.000000,0.000000,0.000000,0.000000
152,0.000000,0.000000,0.000000,0.000000,0.000000
153,3.406162,0.180556,68.270836,7.709270,0.101190
154,3.211618,0.236111,15.437500,4.823303,0.345679
155,5.099946,0.972222,3.072000,0.611633,0.040493
156,0.000000,0.000000,0.000000,0.000000,0.000000
157,3.528829,0.111111,14.944445,7.185989,0.333333
158,4.470249,0.486111,6.875000,7.271470,0.567192
159,5.243069,0.916667,3.072000,10.040094,0.229166
160,0.000000,0.000000,0.000000,0.000000,0.000000
161,5.130920,0.625000,19.493055,11.781965,0.358539
162,4.587752,0.333333,81.875000,8.999489,0.445555
163,2.146283,0.027778,0.000000,0.490741,0.004630
164,2.162917,0.027778,0.000000,0.497171,0.004630
165,0.000000,0.000000,0.000000,0.000000,0.000000
166,2.107294,0.013889,11.201389,0.035301,0.000000
167,0.000000,0.000000,0.000000,0.000000,0.000000
168,3.481965,0.097222,33.743057,6.179157,0.274306
169,0.000000,0.000000,0.000000,0.000000,0.000000
170,0.000000,0.000000,0.000000,0.000000,0.000000
171,0.000000,0.000000,0.000000,0.000000,0.000000
172,4.029550,0.097222,35.798611,1.631510,0.220486
173,0.000000,0.000000,0.000000,0.000000,0.000000
174,4.190197,0.652778,51.555557,10.433356,0.691840
175,4.719124,0.444444,11.868055,1.633885,0.134049
176,0.000000,0.000000,0.000000,0.000000,0.000000
177,4.173587,0.416667,34.868057,3.407382,0.260081
